customer_id,recency_days,frequency,monetary,cluster,segment
12475,53.0,2,1149.6399999999999,2,New
12476,15.0,23,14083.91,0,Champions
12477,22.0,9,20276.37,0,Champions
12478,3.0,1,680.99,2,New
12479,11.0,1,527.2,2,New
12480,28.0,7,5464.85,4,Loyal
12481,22.0,15,12185.51,0,Champions
12482,576.0,29,23691.4,0,Champions
12483,17.0,19,5097.18,0,Champions
12484,32.0,12,6354.1,0,Champions
12485,529.0,1,708.1,1,Lost
12486,431.0,1,1037.28,3,At Risk
12487,730.0,1,285.29999999999995,1,Lost
12488,9.0,3,1298.66,4,Loyal
12489,336.0,1,334.93,1,Lost
12490,5.0,21,9823.64,0,Champions
12491,38.0,1,460.40000000000003,2,New
12492,63.0,3,715.21,2,New
12493,165.0,2,433.74,2,New
12494,15.0,9,1815.27,4,Loyal
12495,640.0,1,357.4,1,Lost
12496,620.0,2,45.34,1,Lost
12497,81.0,3,6248.5,4,Loyal
12498,21.0,3,403.70000000000005,2,New
12499,560.0,1,393.72,1,Lost
12500,23.0,19,5955.21,0,Champions
12501,336.0,1,2169.39,3,At Risk
12502,95.0,5,3723.87,4,Loyal
12503,584.0,1,1126.0,3,At Risk
12504,18.0,4,779.05,4,Loyal
12505,408.0,1,955.2,3,At Risk
12506,232.0,1,73.5,2,New
12507,134.0,4,1844.06,4,Loyal
12508,26.0,2,397.88,2,New
12509,284.0,1,176.5,2,New
12510,142.0,9,5178.02,4,Loyal
12511,428.0,1,3084.02,3,At Risk
12512,66.0,2,132.18,2,New
12513,112.0,1,612.29,2,New
12514,267.0,2,1597.76,3,At Risk
12515,353.0,1,383.7,1,Lost
12516,77.0,4,2648.62,4,Loyal
12517,28.0,5,2481.6,4,Loyal
12518,0.0,5,2056.89,4,Loyal
12519,63.0,2,716.54,2,New
12520,79.0,5,2634.2599999999998,4,Loyal
12521,142.0,1,599.68,2,New
12522,39.0,2,192.72,2,New
12523,19.0,23,4352.35,0,Champions
12524,9.0,17,11126.11,0,Champions
12525,498.0,3,973.73,3,At Risk
12526,0.0,3,1316.6599999999999,4,Loyal
12527,81.0,5,735.51,4,Loyal
12528,9.0,6,1933.48,4,Loyal
12529,528.0,1,316.48,1,Lost
12530,59.0,9,3759.26,4,Loyal
12531,14.0,2,1933.2,4,Loyal
12532,30.0,1,349.83000000000004,2,New
12533,627.0,2,1367.8899999999999,3,At Risk
12534,130.0,1,1089.18,2,New
12535,91.0,2,716.3499999999999,2,New
12536,43.0,3,12601.830000000002,4,Loyal
12537,408.0,1,732.94,3,At Risk
12538,29.0,2,640.45,2,New
12539,22.0,7,11214.75,0,Champions
12540,19.0,33,22254.49,0,Champions
12541,29.0,3,981.1800000000001,4,Loyal
12542,484.0,2,481.88,3,At Risk
12543,448.0,1,980.25,3,At Risk
12544,36.0,1,372.7,2,New
12545,75.0,2,1000.39,2,New
12546,46.0,2,1161.5,2,New
12547,197.0,3,383.58,2,New
12548,166.0,1,95.19999999999999,2,New
12549,575.0,6,1575.68,3,At Risk
12550,79.0,1,964.83,2,New
12551,357.0,1,168.0,1,Lost
12552,38.0,2,437.82,2,New
12553,8.0,12,4608.75,0,Champions
12554,448.0,1,468.5,1,Lost
12555,682.0,1,129.23,1,Lost
12556,50.0,2,599.56,2,New
12557,16.0,8,18096.14,0,Champions
12558,7.0,1,269.96,2,New
12559,310.0,2,561.71,3,At Risk
12560,5.0,3,2134.01,4,Loyal
12561,302.0,1,238.85,1,Lost
12562,8.0,9,4966.92,4,Loyal
12563,408.0,1,249.23999999999998,1,Lost
12564,261.0,1,456.9,2,New
12565,288.0,1,145.92,1,Lost
12566,86.0,1,351.65,2,New
12567,22.0,15,11767.48,0,Champions
12568,644.0,1,70.0,1,Lost
12569,2.0,32,4124.69,0,Champions
12570,682.0,1,77.52,1,Lost
12571,39.0,2,519.61,2,New
12572,8.0,2,1020.4200000000001,2,New
12573,227.0,5,717.41,3,At Risk
12574,315.0,1,218.45000000000002,1,Lost
12575,457.0,2,622.8199999999999,3,At Risk
12576,35.0,8,2142.72,4,Loyal
12577,35.0,8,1617.1,4,Loyal
12578,21.0,4,4642.45,4,Loyal
12579,78.0,1,440.42,2,New
12580,246.0,2,1052.8999999999999,3,At Risk
12581,39.0,1,197.71,2,New
12582,238.0,4,1980.4,4,Loyal
12583,2.0,27,13591.58,0,Champions
12584,3.0,9,2338.15,4,Loyal
12585,234.0,2,2040.1,3,At Risk
12586,17.0,4,2062.67,4,Loyal
12587,7.0,1,144.0,2,New
12588,39.0,4,958.78,4,Loyal
12589,28.0,8,4695.66,4,Loyal
12590,211.0,2,9864.26,4,Loyal
12591,317.0,3,1338.95,3,At Risk
12592,92.0,5,2582.66,4,Loyal
12593,108.0,3,418.1,2,New
12594,37.0,15,5090.110000000001,0,Champions
12595,504.0,1,299.02,1,Lost
12596,51.0,2,618.27,2,New
12597,19.0,4,3811.22,4,Loyal
12598,9.0,11,4534.09,0,Champions
12599,29.0,13,2296.7200000000003,4,Loyal
12600,28.0,21,4967.42,0,Champions
12601,189.0,6,681.26,4,Loyal
12602,58.0,1,153.12,2,New
12603,21.0,1,739.1999999999999,2,New
12604,79.0,2,254.18,2,New
12605,376.0,4,1232.95,3,At Risk
12606,682.0,1,21.0,1,Lost
12607,60.0,1,1579.51,2,New
12608,404.0,1,415.79,1,Lost
12609,78.0,9,3435.86,4,Loyal
12610,22.0,5,2099.54,4,Loyal
12611,52.0,1,1193.32,2,New
12612,74.0,1,704.0400000000001,2,New
12613,57.0,10,6817.37,0,Champions
12614,277.0,1,315.6,2,New
12615,2.0,8,5740.9800000000005,4,Loyal
12616,95.0,3,1131.1,4,Loyal
12617,29.0,1,352.98,2,New
12618,21.0,1,177.31,2,New
12619,16.0,10,3781.38,4,Loyal
12620,14.0,3,1339.4099999999999,4,Loyal
12621,1.0,35,24311.2,0,Champions
12622,232.0,1,180.1,2,New
12623,276.0,7,3747.84,4,Loyal
12624,106.0,2,641.13,2,New
12625,211.0,4,5164.88,4,Loyal
12626,23.0,9,6620.48,0,Champions
12627,10.0,7,4478.53,4,Loyal
12628,4.0,3,786.46,2,New
12629,385.0,2,1558.22,3,At Risk
12630,9.0,2,1270.88,2,New
12631,57.0,6,3481.57,4,Loyal
12632,520.0,2,804.88,3,At Risk
12633,58.0,7,5678.16,4,Loyal
12634,535.0,2,490.0,1,Lost
12635,89.0,4,2930.41,4,Loyal
12636,738.0,1,141.0,1,Lost
12637,67.0,12,8283.81,0,Champions
12638,33.0,2,921.49,2,New
12639,238.0,3,1312.3700000000001,3,At Risk
12640,23.0,3,1174.5800000000002,4,Loyal
12641,115.0,1,185.9,2,New
12642,25.0,3,1013.26,4,Loyal
12643,128.0,12,8304.82,0,Champions
12644,129.0,4,1918.4900000000002,4,Loyal
12645,33.0,8,3539.3,4,Loyal
12646,4.0,2,1346.9699999999998,2,New
12647,22.0,36,16955.55,0,Champions
12648,154.0,4,1112.0,4,Loyal
12649,107.0,8,2294.65,4,Loyal
12650,3.0,1,314.44,2,New
12651,334.0,4,377.75,3,At Risk
12652,331.0,2,1017.03,3,At Risk
12653,148.0,3,4160.83,4,Loyal
12654,10.0,5,601.98,4,Loyal
12655,423.0,1,261.35,1,Lost
12656,17.0,8,6407.83,4,Loyal
12657,11.0,4,1643.18,4,Loyal
12658,18.0,1,686.05,2,New
12659,29.0,1,91.68,2,New
12660,11.0,1,245.1,2,New
12661,436.0,1,162.0,1,Lost
12662,0.0,20,6726.54,0,Champions
12663,624.0,2,239.4,1,Lost
12664,8.0,11,6070.04,0,Champions
12665,324.0,3,313.6,3,At Risk
12666,394.0,1,1248.42,3,At Risk
12667,58.0,1,620.13,2,New
12668,11.0,10,11383.03,0,Champions
12669,150.0,3,2744.0299999999997,4,Loyal
12670,10.0,7,3760.29,4,Loyal
12671,606.0,1,2622.481,3,At Risk
12672,329.0,2,437.05,3,At Risk
12673,5.0,3,1230.02,4,Loyal
12674,38.0,4,1970.6,4,Loyal
12675,553.0,2,957.25,3,At Risk
12676,24.0,11,2843.09,4,Loyal
12677,555.0,2,395.1,1,Lost
12678,42.0,21,34281.18,0,Champions
12679,58.0,4,1113.02,4,Loyal
12680,0.0,4,880.81,4,Loyal
12681,14.0,45,29834.76,0,Champions
12682,3.0,52,22950.22,0,Champions
12683,4.0,21,11633.7,0,Champions
12684,7.0,7,2283.63,4,Loyal
12685,28.0,6,2863.08,4,Loyal
12686,371.0,1,89.14,1,Lost
12687,480.0,2,2138.91,3,At Risk
12688,113.0,1,4873.81,4,Loyal
12689,25.0,2,1247.6100000000001,2,New
12690,205.0,1,389.01,2,New
12691,28.0,7,1170.4,4,Loyal
12692,637.0,1,110.95,1,Lost
12693,127.0,7,1703.02,4,Loyal
12694,70.0,3,1843.35,4,Loyal
12695,7.0,7,1407.1200000000001,4,Loyal
12696,434.0,2,851.91,3,At Risk
12697,28.0,3,957.5899999999999,4,Loyal
12698,590.0,1,339.75,1,Lost
12699,417.0,1,638.11,3,At Risk
12700,7.0,4,4939.99,4,Loyal
12701,79.0,6,2446.41,4,Loyal
12702,19.0,1,219.0,2,New
12703,71.0,4,1006.53,4,Loyal
12704,7.0,8,2340.84,4,Loyal
12705,15.0,14,11762.1,0,Champions
12707,291.0,1,603.42,3,At Risk
12708,29.0,18,5117.66,0,Champions
12709,15.0,34,30291.76,0,Champions
12710,96.0,3,1149.02,4,Loyal
12711,611.0,2,1339.05,3,At Risk
12712,28.0,21,6723.03,0,Champions
12713,0.0,1,848.55,2,New
12714,9.0,12,14093.710000000001,0,Champions
12715,106.0,1,343.36,2,New
12716,3.0,2,1053.49,2,New
12717,151.0,3,1308.91,4,Loyal
12718,71.0,1,238.25,2,New
12719,5.0,2,644.95,2,New
12720,2.0,30,7787.28,0,Champions
12721,31.0,8,4013.08,4,Loyal
12722,85.0,4,997.6300000000001,4,Loyal
12723,3.0,5,725.0699999999999,4,Loyal
12724,5.0,7,2317.52,4,Loyal
12725,371.0,4,2266.7599999999998,3,At Risk
12726,28.0,11,4014.6,0,Champions
12727,10.0,10,5679.530000000001,0,Champions
12728,71.0,5,1070.17,4,Loyal
12729,113.0,1,453.01,2,New
12730,521.0,1,829.25,1,Lost
12731,23.0,17,25775.71,0,Champions
12732,179.0,1,236.26000000000002,2,New
12733,234.0,4,2424.87,4,Loyal
12734,352.0,3,639.65,3,At Risk
12735,315.0,2,779.5699999999999,3,At Risk
12736,332.0,1,234.0,1,Lost
12737,498.0,2,3710.5,3,At Risk
12738,372.0,1,155.35,1,Lost
12739,78.0,4,2726.73,4,Loyal
12740,63.0,1,427.6,2,New
12741,529.0,2,406.07000000000005,1,Lost
12742,625.0,1,1201.52,3,At Risk
12743,134.0,2,540.13,2,New
12744,51.0,11,25317.06,0,Champions
12745,486.0,3,925.4100000000001,3,At Risk
12746,540.0,1,254.55,1,Lost
12747,2.0,26,8898.48,0,Champions
12748,0.0,336,53539.64,0,Champions
12749,3.0,9,6897.36,0,Champions
12750,128.0,1,275.88,2,New
12751,444.0,1,268.27,1,Lost
12752,81.0,1,4366.78,4,Loyal
12753,22.0,6,21429.39,0,Champions
12754,235.0,3,3010.74,4,Loyal
12755,280.0,11,5236.259999999999,0,Champions
12756,86.0,1,112.08,2,New
12757,15.0,13,7834.650000000001,0,Champions
12758,116.0,7,9903.24,0,Champions
12759,52.0,8,5020.74,4,Loyal
12760,455.0,1,347.8,1,Lost
12761,457.0,2,782.95,3,At Risk
12762,7.0,2,1898.52,4,Loyal
12763,138.0,2,494.08,2,New
12764,316.0,1,1693.88,3,At Risk
12765,472.0,6,1404.58,3,At Risk
12766,3.0,9,8918.99,0,Champions
12767,375.0,1,949.82,3,At Risk
12768,450.0,1,168.69000000000003,1,Lost
12769,238.0,1,1143.6,2,New
12770,210.0,2,3246.45,3,At Risk
12771,485.0,1,282.3,1,Lost
12772,59.0,1,892.47,2,New
12773,564.0,1,124.25,1,Lost
12774,535.0,1,98.7,1,Lost
12775,17.0,7,1686.1200000000001,4,Loyal
12776,667.0,1,55.5,1,Lost
12777,457.0,1,519.45,1,Lost
12778,19.0,9,1775.68,4,Loyal
12779,37.0,14,6474.11,0,Champions
12780,598.0,1,337.4,1,Lost
12781,63.0,2,826.74,2,New
12782,4.0,11,4618.240000000001,0,Champions
12783,2.0,6,2225.91,4,Loyal
12784,9.0,3,1763.1499999999999,4,Loyal
12785,364.0,3,1100.4,3,At Risk
12786,609.0,1,728.5,1,Lost
12787,9.0,4,862.18,4,Loyal
12788,463.0,4,444.9,3,At Risk
12789,65.0,3,273.35,2,New
12790,192.0,2,591.85,2,New
12791,373.0,6,863.51,3,At Risk
12792,256.0,2,827.01,3,At Risk
12793,334.0,3,885.53,3,At Risk
12794,53.0,2,860.41,2,New
12795,18.0,1,430.48,2,New
12796,628.0,1,381.0,1,Lost
12797,365.0,2,552.08,3,At Risk
12798,10.0,4,8510.93,4,Loyal
12799,529.0,1,219.35,1,Lost
12800,470.0,3,584.25,3,At Risk
12801,500.0,1,1071.82,3,At Risk
12802,186.0,7,2416.42,4,Loyal
12803,393.0,1,1092.81,3,At Risk
12804,465.0,2,325.37,1,Lost
12805,381.0,4,1434.95,3,At Risk
12806,435.0,4,2878.96,3,At Risk
12807,383.0,1,330.34999999999997,1,Lost
12808,36.0,5,776.7,4,Loyal
12809,177.0,3,1755.94,4,Loyal
12810,534.0,2,534.99,1,Lost
12811,260.0,5,1033.9,3,At Risk
12812,44.0,1,229.64000000000001,2,New
12813,501.0,3,1687.8,3,At Risk
12814,101.0,1,125.92,2,New
12815,147.0,2,1063.46,2,New
12816,95.0,2,572.2,2,New
12817,281.0,3,690.98,3,At Risk
12818,261.0,1,1542.0800000000002,3,At Risk
12819,458.0,1,540.52,1,Lost
12820,3.0,11,2689.52,4,Loyal
12821,214.0,2,220.79999999999998,2,New
12822,70.0,2,948.88,2,New
12823,74.0,18,6501.5,0,Champions
12824,59.0,1,397.12,2,New
12825,521.0,2,518.63,1,Lost
12826,2.0,12,2800.75,4,Loyal
12827,5.0,3,430.15,2,New
12828,2.0,6,1018.71,4,Loyal
12829,336.0,3,385.3,3,At Risk
12830,37.0,6,6814.64,4,Loyal
12831,262.0,3,451.10999999999996,3,At Risk
12832,32.0,2,383.03000000000003,2,New
12833,145.0,1,417.38,2,New
12834,282.0,1,312.38,2,New
12835,427.0,41,5996.83,0,Champions
12836,59.0,15,6559.7300000000005,0,Champions
12837,173.0,2,662.6600000000001,2,New
12838,33.0,10,2975.91,4,Loyal
12839,2.0,26,9669.12,0,Champions
12840,143.0,7,4041.97,4,Loyal
12841,4.0,40,6958.2,0,Champions
12842,70.0,4,1917.99,4,Loyal
12843,65.0,30,6583.36,0,Champions
12844,29.0,4,648.6,4,Loyal
12845,267.0,4,354.09,3,At Risk
12846,682.0,1,15.58,1,Lost
12847,22.0,2,1609.0,4,Loyal
12848,675.0,1,208.0,1,Lost
12849,31.0,6,3042.47,4,Loyal
12850,445.0,1,330.0,1,Lost
12851,96.0,2,280.76,2,New
12852,294.0,1,311.55,2,New
12853,134.0,11,3907.5,4,Loyal
12854,78.0,7,2970.9700000000003,4,Loyal
12855,372.0,4,612.84,3,At Risk
12856,7.0,6,2170.78,4,Loyal
12857,210.0,6,3688.0,4,Loyal
12858,383.0,1,147.27,1,Lost
12859,458.0,1,575.1,1,Lost
12860,693.0,1,54.22,1,Lost
12861,619.0,1,68.25,1,Lost
12862,425.0,2,984.62,3,At Risk
12863,52.0,6,2792.55,4,Loyal
12864,138.0,2,299.57,2,New
12865,26.0,4,3323.4700000000003,4,Loyal
12866,283.0,3,1227.35,3,At Risk
12867,26.0,13,7829.26,0,Champions
12868,185.0,8,2043.7600000000002,4,Loyal
12869,681.0,1,337.67,1,Lost
12870,375.0,3,1676.95,3,At Risk
12871,84.0,3,744.02,2,New
12872,326.0,12,3283.96,4,Loyal
12873,282.0,3,2027.3000000000002,3,At Risk
12874,385.0,2,948.42,3,At Risk
12875,143.0,5,1356.99,4,Loyal
12876,57.0,4,4081.79,4,Loyal
12877,3.0,20,2942.1400000000003,0,Champions
12878,236.0,2,854.99,3,At Risk
12879,44.0,3,573.22,2,New
12880,381.0,2,640.13,3,At Risk
12881,275.0,1,298.0,2,New
12882,9.0,2,1463.04,4,Loyal
12883,24.0,4,703.47,4,Loyal
12884,88.0,1,309.05,2,New
12885,63.0,3,1175.22,4,Loyal
12886,67.0,2,1378.4,2,New
12887,383.0,1,222.4,1,Lost
12888,214.0,2,354.12,2,New
12889,381.0,4,385.46000000000004,3,At Risk
12890,24.0,2,706.02,2,New
12891,185.0,11,840.5,4,Loyal
12892,396.0,1,263.38,1,Lost
12893,30.0,1,176.55,2,New
12894,575.0,1,157.35,1,Lost
12895,42.0,2,372.8,2,New
12897,204.0,4,514.25,2,New
12898,463.0,2,296.21000000000004,1,Lost
12899,413.0,1,366.4,1,Lost
12900,422.0,1,340.33,1,Lost
12901,8.0,28,17654.54,0,Champions
12902,264.0,1,138.68,2,New
12903,428.0,1,833.53,3,At Risk
12904,18.0,2,496.06,2,New
12905,576.0,2,1018.42,3,At Risk
12906,11.0,5,2919.81,4,Loyal
12907,395.0,2,508.90999999999997,3,At Risk
12908,176.0,5,1776.0,4,Loyal
12909,39.0,8,3103.19,4,Loyal
12910,23.0,13,5796.5199999999995,0,Champions
12911,551.0,1,1651.72,3,At Risk
12912,2.0,5,1662.3,4,Loyal
12913,4.0,13,6283.24,0,Champions
12914,400.0,1,223.98,1,Lost
12915,148.0,4,975.1,4,Loyal
12916,138.0,7,4479.73,4,Loyal
12917,128.0,6,4359.2,4,Loyal
12918,626.0,1,10953.5,3,At Risk
12919,8.0,6,1335.19,4,Loyal
12920,17.0,4,486.64,2,New
12921,9.0,74,35233.24,0,Champions
12922,161.0,1,405.38,2,New
12923,64.0,3,770.42,2,New
12924,88.0,12,2469.4,4,Loyal
12925,4.0,3,729.33,2,New
12926,411.0,4,1523.97,3,At Risk
12927,394.0,1,197.31,1,Lost
12928,35.0,12,4304.89,0,Champions
12929,311.0,1,117.85,1,Lost
12930,78.0,2,415.8,2,New
12931,21.0,57,92347.34,0,Champions
12932,539.0,8,1698.56,3,At Risk
12933,24.0,8,1636.6299999999999,4,Loyal
12934,736.0,1,181.65,1,Lost
12935,2.0,15,4243.86,0,Champions
12936,17.0,4,1063.9,4,Loyal
12937,15.0,9,3097.61,4,Loyal
12938,25.0,1,114.14,2,New
12939,64.0,20,25264.8,0,Champions
12940,54.0,2,899.6899999999999,2,New
12941,724.0,1,377.49,1,Lost
12942,131.0,3,675.6,2,New
12943,558.0,2,496.5,1,Lost
12944,35.0,2,604.51,2,New
12945,288.0,2,900.11,3,At Risk
12946,436.0,1,324.45,1,Lost
12947,143.0,6,1603.99,4,Loyal
12948,16.0,9,2317.4300000000003,4,Loyal
12949,30.0,22,15526.7,0,Champions
12950,2.0,3,1843.0,4,Loyal
12951,8.0,15,3213.7200000000003,0,Champions
12952,5.0,4,1387.79,4,Loyal
12953,9.0,2,828.8100000000001,2,New
12954,638.0,1,162.45,1,Lost
12955,1.0,11,4757.16,0,Champions
12956,306.0,4,521.89,3,At Risk
12957,9.0,13,8706.97,0,Champions
12958,400.0,2,467.34,3,At Risk
12959,484.0,1,150.95,1,Lost
12960,413.0,4,1322.0700000000002,3,At Risk
12961,379.0,1,211.99,1,Lost
12962,7.0,2,266.39,2,New
12963,8.0,12,3235.79,0,Champions
12964,437.0,1,132.24,1,Lost
12965,89.0,1,769.8100000000001,2,New
12966,9.0,1,160.18,2,New
12967,358.0,3,2938.5200000000004,3,At Risk
12968,112.0,1,135.95,2,New
12969,602.0,1,122.45,1,Lost
12970,7.0,10,1453.6,4,Loyal
12971,3.0,116,15704.6,0,Champions
12972,413.0,4,1161.2,3,At Risk
12973,413.0,1,385.55,1,Lost
12974,197.0,2,408.95,2,New
12975,436.0,6,2100.09,3,At Risk
12976,211.0,8,3156.38,4,Loyal
12977,156.0,4,513.88,2,New
12978,385.0,5,2502.82,3,At Risk
12979,729.0,1,517.7,1,Lost
12980,157.0,21,16245.78,0,Champions
12981,29.0,2,372.22,2,New
12982,242.0,8,2744.81,4,Loyal
12983,598.0,1,490.08,1,Lost
12984,18.0,1,97.5,2,New
12985,0.0,2,1239.38,2,New
12986,428.0,10,2729.84,3,At Risk
12987,73.0,5,1312.21,4,Loyal
12988,292.0,1,505.82,2,New
12989,3.0,33,13551.75,0,Champions
12990,31.0,7,955.5,4,Loyal
12991,23.0,3,764.8199999999999,2,New
12992,725.0,1,93.35000000000001,1,Lost
12993,23.0,8,1259.6299999999999,4,Loyal
12994,4.0,3,974.4200000000001,4,Loyal
12995,85.0,1,211.32,2,New
12996,375.0,1,355.5,1,Lost
12997,22.0,8,2110.9100000000003,4,Loyal
12998,492.0,3,920.08,3,At Risk
12999,196.0,3,455.88,2,New
13000,106.0,4,1032.5,4,Loyal
13001,4.0,33,24042.65,0,Champions
13002,318.0,3,414.13,3,At Risk
13003,105.0,3,149.05,2,New
13004,11.0,36,11650.85,0,Champions
13005,173.0,4,999.68,4,Loyal
13006,56.0,1,81.57,2,New
13007,579.0,1,175.25,1,Lost
13008,323.0,3,612.13,3,At Risk
13009,672.0,1,234.0,1,Lost
13010,374.0,2,330.12,1,Lost
13011,372.0,1,50.550000000000004,1,Lost
13012,9.0,11,2957.83,4,Loyal
13013,1.0,29,11097.43,0,Champions
13014,10.0,11,5381.08,0,Champions
13015,53.0,11,6579.78,0,Champions
13016,73.0,3,789.89,2,New
13017,7.0,1,204.0,2,New
13018,16.0,35,9763.16,0,Champions
13019,379.0,6,1229.95,3,At Risk
13020,562.0,2,618.96,3,At Risk
13021,4.0,17,4887.24,0,Champions
13022,429.0,1,65.3,1,Lost
13023,64.0,3,1449.03,4,Loyal
13024,470.0,2,555.87,3,At Risk
13025,731.0,1,323.39,1,Lost
13026,1.0,9,1733.08,4,Loyal
13027,113.0,19,17239.2,0,Champions
13028,22.0,2,661.3199999999999,2,New
13029,30.0,5,1927.3,4,Loyal
13030,11.0,2,752.44,2,New
13031,407.0,5,3292.84,3,At Risk
13032,52.0,9,2815.96,4,Loyal
13033,357.0,2,220.55,1,Lost
13034,54.0,3,756.8199999999999,2,New
13035,73.0,3,1364.2,4,Loyal
13036,684.0,1,307.1,1,Lost
13037,138.0,12,3914.9500000000003,0,Champions
13038,80.0,3,908.46,2,New
13039,584.0,4,1010.73,3,At Risk
13040,8.0,2,676.99,2,New
13041,450.0,4,799.13,3,At Risk
13042,598.0,3,1488.59,3,At Risk
13043,273.0,1,516.42,2,New
